Date,Address,Company,Car Type,"Autonomous engaged (1 = yes, 0 = no)",Time,Weather,Road conditions,Lighting,Unusual Conditions,Stopped/Moving,Other Vehicle,Stopped/moving (Car 2),Damage,Significance,Injury,Expanation,error
12/13/19,"Bryant St and Delancey St, San Francisco, San Francisco, CA, 94107",Cruise,Chevrolet Bolt 2020,0,7:55,Clear,Dry,Daylight,No,moving,,moving,minor,,,parking,
9/19/19,"Sunnyvale Community Center Park, Sunnyvale, Santa Clara, CA, 94087",Apple,Lexus 2017,0,7:58,Clear,Dry,Daylight,No,stopped,,moving,minor,,,head-on,
1/25/20,"4307 24th St, San Francisco, San Frnacisco, CA, 94114",Cruise,Chevrolet Bolt 2020,0,8:10,Clear,Dry,Daylight,No,moving,,stopped,none,human error,,parking,
1/2/20,"Clement St and 24th Ave, San Francisco, San Francisco, CA, 94121",Cruise,Chevrolet Bolt 2020,0,8:24,Clear,Dry,Daylight,No,stopped,,moving,minor,human error,,parking,
3/6/19,"Alma Rd and Charleston Rd, Palo Alto, Santa Clara, CA, 94306",Lyft,Ford Fusion 2018,0,8:24,Raining,Wet,Daylight,No,moving,,stopped,minor,,,rear-end,
8/26/17,"Alma St and El Verano Ave, Palo Alto, Santa Clara, CA, 94306",Waymo,Chrysler Pacifica 2017,0,8:39,,,,,moving,,moving,minor,human didn’t trust av made wrong correction,,sideswipe,
1/21/20,"3rd St and Mission St, San Francisco, San Francisco, CA, 94103",Zoox,Toyota Highlander 2016,0,8:44,Clear,Dry,Daylight,No,moving,,moving,minor,human error,,rear-end,
2/16/18,"14th St and Valencia St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2017,0,8:45,,,,,moving,,stopped,minor,human error,,sideswipe,
2/5/20,"901 Jones St, San Francisco, San Francisco, CA,  94109",Cruise,Chevrolet Bolt 2020,0,8:57,Clear,Dry,Daylight,No,stopped,,moving,none,,,rear-end,
12/20/19,"Kearny St and Jackson St, San Francisco, San Francisco, CA, 94108",Zoox,Toyota Highlander 2016,0,9:00,Cloudy,Dry,Daylight,No,moving,,moving,moderate,,,sideswipe,
7/21/19,"Market St and Duboce Ave, San Francisco, San Francisco, CA, 94114",Cruise,Chevrolet Bolt 2020,0,9:01,Clear,Dry,Daylight,No,moving,,moving,none,,,broadside,
3/26/19,"E Charleston Rd and San Antonio Rd, Palo Alto, Santa Clara, CA, 94303",Waymo,Chrysler Pacifica 2017,0,9:09,Clear,Wet,Daylight,No,moving,,moving,minor,,,rear-end,
1/8/20,"Green St and Grant St, San Francisco, San Francisco, CA, 94133",Zoox,Toyota Highlander 2016,0,9:10,Clear,Dry,Daylight,No,stopped,,moving,moderate,human error,,parking,
12/20/19,"Whisman Station Dr and Central Expway, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,0,9:13,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
12/11/18,"Alma St and El Verano Ave, Palo Alto, Santa Clara, CA, 94306",Waymo,Chrysler Pacifica 2017,0,9:18,Fog,Dry,Daylight,Reduced width,moving,,N/A,minor,human error strikes median,,other,
9/24/18,"Broadway and The Embarcadero, San Francisco, San Francisco, CA, 94111",Zoox,Toyota Highlander 2016,0,9:18,Clear,Dry,Daylight,No,stopped,,moving,none,human error,,rear-end,
11/14/18,"Rengstroff Ave and Charleston Rd, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,0,9:20,Cloudy,Dry,Daylight,No,moving,,N/A,minor,human error strikes median,,other,
10/19/19,"3191 Middlefield Rd, Palo Alto, Santa Clara, CA, 94306",Waymo,Chrysler Pacifica 2017,0,9:40,Clear,Dry,Daylight,No,stopped,,moving,minor,,,parking,
12/19/19,"Kearny St and Post St, San Francisco, San Francisco, CA, 94108",Zoox,Toyota Highlander 2016,0,9:45,Cloudy,Dry,Daylight,No,moving,,moving,moderate,,,sideswipe,
11/18/19,"13th St and Bryant St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2020,0,9:45,Clear,Dry,Daylight,No,moving,,moving,minor,,,rear-end,
11/24/18,"Pine St and Battery St, San Francisco, San Francisco, CA, 94104",Cruise,Chevrolet Bolt 2019,0,9:48,Clear,Dry,Daylight,No,moving,,moving,moderate,human error,,broadside,
9/16/19,"101 US Freeway, Mountain View, Santa Clara, CA, 94043",AI Motive,Toyota Prius 2010,0,10:00,Clear,Wet,Daylight,No,stopped,,moving,minor,,,rear-end,
10/15/18,"North Wolfe Rd and Stewart Dr, Sunnyvale, Santa Clara, CA, 94085",Apple,Lexus 2017,0,10:28,Clear,Dry,Daylight,No,moving,,moving,minor,human error,,sideswipe,
4/10/19,"Franklin St and Olive St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2019,0,10:38,Clear,Dry,Daylight,No,moving,,moving,minor,human didn’t trust av made wrong correction,,sideswipe,
5/11/17,"Wisconsin St and Coral Rd, San Francisco, San Francsico, CA, 94107",UATC,Volvo 2017,0,10:50,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
3/29/18,"Powell St and Vallejo St, San Francisco, San Francisco, CA, 94133",Cruise,Chevrolet Bolt 2017,0,11:04,,,,,moving,,moving,minor,human lost control clipped av,,sideswipe,
9/12/17,"Folsom St and 11th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2016,0,11:10,,,,,stopped,,moving,minor,drunk biker hits car,,other,
1/14/20,"Lafayette St and Benton St, Santa Clara, Santa Clara, CA, 95050",Aurora,Lincoln 2017,0,11:13,Clear,Dry,Daylight,No,stopped,,moving,none,human error,,rear-end,
6/11/19,"Grant Ave and Union St, San Francisco, San Francisco, CA, 94133",Zoox,Toyota Highlander 2016,0,11:16,Clear,Dry,Daylight,No,moving,,moving,none,,,head-on,
6/19/19,"Mason St and Sutter St, San Francisco, San Francisco, CA, 94108",Zoox,Toyota Highlander 2016,0,11:18,Cloudy,Dry,Daylight,No,moving,,moving,none,,,head-on,
1/28/20,"Oro Way and Space Park Way, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,0,11:30,Cloudy,Dry,Daylight,Reduced width,moving,,N/A,minor,human hits median,,other,
4/11/19,"Natoma St and 6th St, San Francisco, San Francisco, CA, 94103",Lyft,Ford Fusion 2018,0,11:31,Clear,Dry,Daylight,No,moving,,moving,minor,,,sideswipe,
4/14/19,"Mason St and Yacht Rd, San Francisco, San Francisco, CA, 94123",Cruise,Chevrolet Bolt 2019,0,11:45,Clear,Dry,Daylight,No,moving,,moving,none,,,broadside,
9/27/19,"Clay St and Kearny St, San Francisco, San Francisco, CA, 94108",Cruise,Chevrolet Bolt 2020,0,11:49,Clear,Dry,Daylight,No,stopped,,moving,minor,human didn’t trust av made wrong correction,,broadside,
8/7/18,"I-80 East, Crockett, Contra Costa, CA, 94525",Toyota,Lexus 2016,0,11:50,Clear,Dry,Daylight,No,moving,,moving,major,human made aggressive move clipped av,,sideswipe,
9/23/16,"Phyllis and El Camino, Mountain View, Santa Clara, CA, 94040",Waymo,Lexus 2012,0,11:58,,,,,moving,,moving,significant,human didn’t trust av made wrong correction,,broadside,
10/14/18,"Cherry St and California St, San Francisco, San Francisco, CA, 94118",Cruise,Chevrolet Bolt 2019,0,12:28,Clear,Dry,Daylight,No,moving,,stopped,moderate,,,head-on,
1/12/20,"Clipper St and Portola Dr, San Francisco, San Francisco, CA, 94131",Cruise,Chevrolet Bolt 2020,0,12:40,Clear,Dry,Daylight,No,moving,,N/A,minor,human error strikes median,,other,
6/12/19,"Folsom St and 12th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,0,12:47,Clear,Dry,Daylight,No,moving,,moving,moderate,human didn’t trust av made wrong correction,,sideswipe,
5/23/18,"Bryant St and 10th St, San Francisco, San Francisco, CA, 94133",Cruise,Chevrolet Bolt 2017,0,12:50,Clear,Dry,Daylight,No,stopped,,moving,moderate,human error,,rear-end,
5/17/17,"Noe St and 22nd St, San Francisco, San Francisco, CA, 94114",UATC,Volvo 2017,0,12:55,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
11/18/18,"W Evelyn Ave and Castro St, Moutain View, Santa Clara, CA, 94041",Waymo,Chrysler Pacifica 2017,0,12:57,Clear,Dry,Daylight,No,moving,,moving,minor,human error,,rear-end,
9/9/18,"Divisadero St and Fell St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2017,0,13:20,Clear,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,
10/26/18,"Gough St and Fulton St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2019,0,13:28,Clear,Dry,Daylight,No,moving,,moving,minor,,,sideswipe,
1/8/16,"7th St and Bryant St, San Francisco, San Francisco, CA, 94103",Cruise,Nissan Leaf 2012,0,13:41,,,,,moving,,stopped,minor,after taking control of av the driver failed to stop,,rear-end,
6/20/18,"Page Mill Rd, Palo Alto, Santa Clara, CA, 94306",Aurora,Lincoln 2017,0,13:49,Clear,Dry,Daylight,No,moving,,moving,minor,,,rear-end,
10/27/19,"15 Marina Blvd, San francisco, San Francisco, CA, 94123",Cruise,Chevrolet Bolt 2020,0,13:50,Clear,Dry,Daylight,No,moving,,moving,minor,,,parking,
10/27/18,"4th Avenue and Cornwall St, San Francisco, San Francisco, CA, 94118",Cruise,Chevrolet Bolt 2019,0,13:52,Clear,Dry,Daylight,No,moving,,moving,moderate,human error,,broadside,
11/19/19,"Medical Foundation Dr and El Camino Blvd, Palo Alto, Santa Clara, CA, 94301",Lyft,Ford Fusion 2018,0,14:04,,,,,moving,,moving,moderate,human didn’t trust av made wrong correction,,sideswipe,
2/28/19,"Shoreline Blvd and Wright Ave, Mountain View, Santa Clara, CA, 94043",Lyft,Ford Fusion 2017,0,14:06,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
8/4/19,"Leavenworth St and Geary St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2020,0,14:32,Clear,Dry,Daylight,No,moving,,moving,minor,human didn’t trust av made wrong correction,,rear-end,
10/28/19,"Howard St and 9th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2020,0,14:42,Clear,Dry,Daylight,No,moving,,moving,none,human didn’t trust av made wrong correction,,broadside,
1/10/19,"Townsend St and 3rd St, San Francisco, San Francisco, CA, 94107",Aurora,Lincoln 2017,0,14:52,Clear,Dry,Daylight,No,stopped,,moving,moderate,,,rear-end,
8/16/17,"Geary Blvd and 3rd Ave, San Francisco, San Francisco, CA, 94118",UATC,volvo 2017,0,14:55,,,,,stopped,,moving,minor,,,rear-end,
5/10/16,"101 Hwy South Bound, Sunnyvale, Santa Clara, CA, 94089",Nissan,Nissan Leaf 2010,0,15:00,,,,,moving,,moving,minor,,,rear-end,
11/2/18,"101 North, Palo Alto, Santa Clara, CA, 94303",Aurora,Lincoln 2017,0,15:00,Clear,Dry,Daylight,No,moving,,moving,minor,,,rear-end,
10/12/18,"Mason St and Post St, San Francisco, San Francisco, CA, 94102",Zoox,Toyota Highlander 2016,0,15:04,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
9/14/16,"El Camino Real, Los Altos, Santa Clara, CA, 94022",Waymo,Google 2015,0,15:06,,,,,moving,,moving,moderate,human didn’t trust av made wrong correction,,sideswipe,
1/26/19,"S Shoreline Blvd & W El Camino Real, Mountain View, Santa Clara, CA, 94041",Waymo,Chrysler Pacifica 2017,0,15:24,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
8/11/18,"Moscow St and France Ave, San Francisco, San Francisco, CA, 94112",Zoox,Toyota Highlander 2017,0,15:38,,,,,moving,,stopped,minor,human error,,rear-end,
1/14/20,"5th St and Folsom St, San Frnacisco, San Francisco, CA, 94107",Zoox,Toyota Highlander 2016,0,15:46,Cloudy,Dry,Daylight,No,moving,,moving,minor,,,rear-end,
9/7/18,"Mason St and Eddy St, San Francisco, San Francisco, CA, 94102",Zoox,Toyota Highlander 2016,0,15:47,Clear,Dry,Daylight,No,stopped,,moving,minor,,,sideswipe,
5/2/19,"San Antonio Rd, Palo Alto, Santa Clara, CA, 94306",Lyft,Ford Fusion 2018,0,15:50,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
3/12/19,"739 Pettis Ave, Mountain View, Santa Clara, CA, 94041",Lyft,Ford Fusion 2018,0,16:05,Clear,Dry,Daylight,No,moving,,stopped,minor,,,parking,
8/10/18,"Central Expwy and Shoreline Blvd, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,0,16:07,Clear,Dry,Daylight,No,moving,,moving,minor,human error,,rear-end,
2/10/19,"El Camino Real and Highway 85, Moutain View, Santa Clara, CA, 94040",Waymo,Chrysler Pacifica 2017,0,16:14,Clear,Dry,Daylight,No,moving,,moving,minor,human didn’t trust av made wrong correction,,sideswipe,
8/13/19,"Page Mill Rd and Oregon Expwy, Palo Alto, Santa Clara, CA, 94306",Waymo,Chrysler Pacifica 2017,0,16:31,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
7/23/18,"Vicente Dr, Sunnyvale, Santa Clara, CA, 94086",Waymo,Chrysler Pacifica 2017,0,16:42,Clear,Dry,Daylight,No,moving,,stopped,minor,human error,,rear-end,
7/16/19,"Central Expwy and Thompson Ave, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,0,16:44,Clear,Dry,Daylight,No,stopped,,moving,minor,,,rear-end,
9/9/17,"Folsom St and 6th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2016,0,16:47,,,,,moving,,moving,minor,,,rear-end,
9/22/18,"Bryant St and Mariosa St, San Francisco, San Francisco, CA, 94107",Cruise,Chevrolet Bolt 2019,0,16:48,Clear,Dry,Daylight,No,stopped,,moving,minor,human error,,sideswipe,
2/12/20,"2042 Midvale Ave, Los Angeles, CA, 90025",Waymo,Chrysler Pacifica 2017,0,16:53,Clear,Dry,Daylight,No,moving,,stopped,minor,,,sideswipe,
12/27/19,"850 Stanyan St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2020,0,16:56,Clear,Dry,Dusk,No,moving,,moving,minor,human didn’t trust av made wrong correction,,sideswipe,
7/12/19,"California Cir and Dixon Landing Rd, Milpitas, Alameda, CA, 95035",Pony AI,Lincoln 2018,0,17:00,Clear,Dry,Daylight,No,stopped,,moving,minor,human infront had vehicle in reverse,,other,
9/5/19,"Haight St and Gough St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2020,0,17:33,Clear,Dry,Daylight,No,moving,,moving,minor,,,broadside,
1/13/20,"Mason St and Sutter St, San Francisco, San Francisco, CA, 94108",Zoox,Toyota Highlander 2016,0,18:15,Clear,Dry,Dark-Street lights,No,stopped,,moving,none,,,rear-end,
11/4/19,"Alma St and Oregon Expwy, Palo Alto, Santa Clara, CA, 94301",Waymo,Chrysler Pacifica 2017,0,18:22,Clear,Dry,Dark-Street lights,No,stopped,,moving,minor,,,rear-end,
5/25/18,"Jackson St and Jones St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2017,0,18:37,Clear,Dry,Daylight,No,moving,,stopped,minor,human error,,parking,
9/8/18,"McAllister St and Hyde St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2017,0,18:50,Clear,Dry,Daylight,No,moving,,moving,moderate,human error,,sideswipe,
1/7/19,"Folsom St and 11th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,0,18:54,Clear,Dry,Dark-Street lights,No,moving,,moving,moderate,,,sideswipe,
4/19/17,"Middlefield Rd and Oregon Expwy, Palo Alto, Santa Clara, CA, 94301",Waymo,Lexus 2012,0,18:59,,,,,moving,,N/A,minor,human didn’t trust av made wrong correction,,other,
